Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Thrust (N),RPM168, ESC_Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546
2025-09-03 16:32:21.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.43,0.0,24,0.0,0.0,0.0,0.0
2025-09-03 16:32:21.187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,564.43,0.54,24,0.0,0.0,0.0,0.0
2025-09-03 16:32:21.237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,564.47,1.08,24,0.0,565.5,0.0,60
2025-09-03 16:32:21.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.14,564.47,0.9,24,0.0,565.5,0.0,60
2025-09-03 16:32:21.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.28,564.5,0.81,23,0.0,565.5,0.0,60
2025-09-03 16:32:21.390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.14,564.47,0.81,23,0.0,565.5,0.0,60
2025-09-03 16:32:21.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,564.4,1.08,23,0.0,565.5,0.0,60
2025-09-03 16:32:21.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.14,564.47,1.08,23,0.0,565.5,0.0,60
2025-09-03 16:32:21.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.14,564.4,0.63,23,0.0,565.5,0.0,60
2025-09-03 16:32:21.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,-0.14,564.43,0.9,24,0.0,565.5,0.0,50
2025-09-03 16:32:21.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,564.43,0.72,23,0.0,565.5,0.0,50
2025-09-03 16:32:21.695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,564.5,0.72,23,0.0,565.5,0.0,50
2025-09-03 16:32:21.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,564.53,0.72,23,0.0,565.5,0.0,50
2025-09-03 16:32:21.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.14,564.59,1.26,23,0.0,565.5,0.0,40
2025-09-03 16:32:21.848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.14,564.66,0.72,23,0.0,565.5,0.0,40
2025-09-03 16:32:21.898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.14,564.66,0.99,23,0.0,565.5,0.0,50
2025-09-03 16:32:21.949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,-0.28,564.66,0.63,23,0.0,565.5,0.0,50
