Timestamp,Thrust_0Deg (Kg),Thrust_90Deg (Kg),Thrust_180Deg (Kg),Thrust_270Deg (Kg),Total Weight (Kg),Thrust (N),RPM168, ESC_Torque (Nm)160,Motor Temp (°C)73,Current (A)32,Vdc (V)235,Vout(V)138,IGBT Temp(°C)74,RPM Command49,Battery_Volt(V)546,Battery_Bus_Volt(V)546,Battery_Power(W)546
2025-09-03 15:11:44.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,564.94,0.0,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,24.3,0.28,565.07,0.54,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.14,565.04,0.45,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.14,565.1,-0.63,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,565.1,-0.72,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,-0.14,565.07,-0.63,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.28,565.1,-0.63,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,24.4,0.0,565.13,-0.63,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.14,565.13,-0.45,25,0.0,566.6,0.0,60
2025-09-03 15:11:44.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.14,565.04,0.63,25,0.0,566.5,0.0,60
2025-09-03 15:11:44.847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.0,564.94,0.81,25,0.0,566.5,0.0,60
2025-09-03 15:11:44.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.14,564.94,-0.45,25,0.0,566.6,0.0,50
2025-09-03 15:11:44.950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,24.3,0.14,565.07,0.54,25,0.0,566.6,0.0,50
2025-09-03 15:11:45.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.28,565.04,-0.72,25,0.0,566.6,0.0,60
2025-09-03 15:11:45.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.0,565.23,-0.72,25,0.0,566.6,0.0,60
2025-09-03 15:11:45.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.0,565.19,-0.72,25,0.0,566.6,0.0,60
2025-09-03 15:11:45.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,24.3,0.0,565.13,0.72,25,0.0,566.6,0.0,60
2025-09-03 15:11:45.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,24.3,0.0,565.07,-0.63,25,0.0,566.6,0.0,60
2025-09-03 15:11:45.260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,24.3,0.0,565.07,0.54,25,0.0,566.6,0.0,60
2025-09-03 15:11:45.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,0.0,565.07,-0.72,25,0.0,566.6,0.0,60
